"id","glytoucan","taxon","resource","resource_id"
"8871","G48591HL","9823","carbbank","31056"
"8872","G52742HM","9823","carbbank","31057"
"8873","G45610QI","9823","carbbank","31058"
"1518","G56792RB","9823","carbbank","31059"
"8868","G25193TD","9823","carbbank","31060"
"16308","G13848FF","9823","carbbank","31061"
"16309","G62580JE","9823","carbbank","31062"
"8866","G69854AU","9823","carbbank","31063"
"1252","G89189RG","9823","carbbank","31064"
"8287","G85049LD","9823","carbbank","31065"
"7228","G26732BK","70765","carbbank","31066"
"7228","G26732BK","70765","carbbank","31067"
"7228","G26732BK","70765","carbbank","31068"
"123","G58161NS","70765","carbbank","31068"
"7228","G26732BK","70765","carbbank","31069"
"7229","G51535NO","70765","carbbank","31069"
"2742","G85856RP","74613","carbbank","31074"
"2742","G85856RP","46347","carbbank","31074"
"56","G71142DF","74613","carbbank","31075"
"56","G71142DF","46347","carbbank","31075"
"2742","G85856RP","74613","carbbank","31075"
"2742","G85856RP","46347","carbbank","31075"
"2742","G85856RP","74613","carbbank","31076"
"2742","G85856RP","46347","carbbank","31076"
"2742","G85856RP","74613","carbbank","31077"
"2742","G85856RP","46347","carbbank","31077"
"2740","G89544LF","9823","carbbank","31085"
"33771","G81646WG","1582","carbbank","31086"
"115","G65889KE","63673","carbbank","3109"
"6673","G59560GT","570","carbbank","31096"
"317","G67274NW","9823","carbbank","311"
"7463","G38363DK","63673","carbbank","3110"
"6676","G16335US","27334","carbbank","31102"
"16022","G99790TJ","27334","carbbank","31103"
"6677","G88563XC","480","carbbank","31106"
"8293","G10148CV","9823","carbbank","31109"
"33974","G33765RI","1313","carbbank","31110"
"8282","G33236UO","9823","carbbank","31111"
"8295","G80308BA","9823","carbbank","31112"
"8294","G14250HG","9823","carbbank","31113"
"8292","G61176JH","9823","carbbank","31114"
"3729","G95739WE","9823","carbbank","31115"
"8279","G29539ZA","9823","carbbank","31116"
"8285","G06342XU","9823","carbbank","31117"
"8181","G11373TT","9823","carbbank","31118"
"2426","G77481LZ","9823","carbbank","31119"
"8280","G13500IP","9823","carbbank","31120"
"6140","G22976NF","9823","carbbank","31121"
"8286","G16617HJ","9823","carbbank","31122"
"8284","G51473GI","9823","carbbank","31123"
"8296","G03614UD","9823","carbbank","31124"
"8283","G16975LY","9823","carbbank","31125"
"8281","G73203OQ","9823","carbbank","31126"
"8278","G58501OI","9823","carbbank","31127"
"8184","G56946CM","9823","carbbank","31128"
"6297","G50709IS","9823","carbbank","31129"
"3173","G54461SS","9823","carbbank","31130"
"543","G66021ZE","9823","carbbank","31131"
"553","G40269CS","9823","carbbank","31132"
"7865","G00891GP","9823","carbbank","31133"
"1051","G13974DV","9823","carbbank","31134"
"1925","G54953IZ","9913","carbbank","31135"
"1182","G31020MO","9031","carbbank","31136"
"1053","G19949UL","9823","carbbank","31137"
"512","G65285QO","9913","carbbank","31138"
"1511","G09441IP","9913","carbbank","31139"
"4941","G19189BC","624","carbbank","3114"
"1183","G71670JD","9031","carbbank","31141"
